Person	Lord bishop diocese	Start year	Start month	Start day	End year	End month	End day	End reason	Note	Link on
Adie, Michael Edgar	Guildford (1927-)	1983			1994	9	30	Retirement		Guildford (1927-) - Adie, Michael Edgar
Allister, Donald Spargo	Peterborough (1541-)				2023	1	8	Retirement		Peterborough (1541-) - Allister, Donald Spargo
Atwell, Robert Ronald	Exeter (-)	2014	4	30						Exeter (-) - Atwell, Robert Ronald
Bailey, Jonathan Sansbury	Derby (1927-)	1995			2005	5	31	Retirement		Derby (1927-) - Bailey, Jonathan Sansbury
Baines, Nicholas	Leeds (2014-)	2014	6	8						Leeds (2014-) - Baines, Nicholas
Baines, Nicholas	Bradford (1919-2014)	2011	4	1	2014	4	20	Translation		Bradford (1919-2014) - Baines, Nicholas
Ball, Michael Thomas	Truro (1876-)	1990			1997	2	28	Retirement		Truro (1876-) - Ball, Michael Thomas
Barrington-Ward, Simon	Coventry (1918-)	1985			1997			Retirement		Coventry (1918-) - Barrington-Ward, Simon
Baughen, Michael Alfred	Chester (1541-)				1996	8	31	Retirement		Chester (1541-) - Baughen, Michael Alfred
Bavin, Timothy John	Portsmouth (1927-)	1985	1	7	1995	9	17	Retirement		Portsmouth (1927-) - Bavin, Timothy John
Bayes, Paul	Liverpool (1880-)	2014	7	23	2022	3	2	Retirement		Liverpool (1880-) - Bayes, Paul
Beasley, Noel Michael Roy	Bath and Wells (-)	2022	6	29						Bath and Wells (-) - Beasley, Noel Michael Roy
Bennetts, Colin James	Coventry (1918-)	1998			2008	1	31	Retirement		Coventry (1918-) - Bennetts, Colin James
Bentley, David Edward	Gloucester (1541-1552)	1993			2003	12	31	Retirement		Gloucester (1541-1552) - Bentley, David Edward
Bickersteth, John Monier	Bath and Wells (-)	1975	12	12	1987	10	31	Retirement		Bath and Wells (-) - Bickersteth, John Monier
Bowles, Cyril William Johnston	Derby (1927-)	1969			1987	11	30	Retirement		Derby (1927-) - Bowles, Cyril William Johnston
Butler, Paul Roger	Durham (-)	2014	1	20						Durham (-) - Butler, Paul Roger
Butler, Paul Roger	Southwell and Nottingham (1884-)				2014	1	20	Translation		Southwell and Nottingham (1884-) - Butler, Paul Roger
Butler, Thomas Frederick	Southwark (1905-)	1998			2010	3	5	Retirement		Southwark (1905-) - Butler, Thomas Frederick
Butler, Thomas Frederick	Leicester (1926-)	1991	7	1	1998			Translation		Leicester (1926-) - Butler, Thomas Frederick
Carey, George Leonard	Canterbury (-)	1991	3	27	2002	10	31	Retirement		Canterbury (-) - Carey, George Leonard
Carey, George Leonard	Bath and Wells (-)	1987			1991	3	27	Translation		Bath and Wells (-) - Carey, George Leonard
Cassidy, George Henry	Southwell and Nottingham (1884-)	1999			2009	8	31	Retirement		Southwell and Nottingham (1884-) - Cassidy, George Henry
Chartres, Richard John Carew	London (-)	1995	11		2017	3	31	Retirement		London (-) - Chartres, Richard John Carew
Chessun, Christopher Thomas James	Southwark (1905-)	2011	1	17						Southwark (1905-) - Chessun, Christopher Thomas James
Chesters, Alan David	Blackburn (1926-)	1989			2003	8	31	Retirement		Blackburn (1926-) - Chesters, Alan David
Cocksworth, Christopher John	Coventry (1918-)	2008								Coventry (1918-) - Cocksworth, Christopher John
Conway, Stephen David	Ely (-)	2010	12	6						Ely (-) - Conway, Stephen David
Cottrell, Stephen Geoffrey	York (-)	2020	7	9						York (-) - Cottrell, Stephen Geoffrey
Cottrell, Stephen Geoffrey	Chelmsford (1914-)	2010	10	6	2020	7	9	Translation		Chelmsford (1914-) - Cottrell, Stephen Geoffrey
Croft, Steven John Lindsey	Oxford (1542-)	2016	7	6						Oxford (1542-) - Croft, Steven John Lindsey
Croft, Steven John Lindsey	Sheffield (1914-)				2016	7	6	Translation		Sheffield (1914-) - Croft, Steven John Lindsey
Cross, David Stewart	Blackburn (1926-)	1982			1988	10	31	Retirement		Blackburn (1926-) - Cross, David Stewart
